Date,Open,High,Low,Close,Adj Close,Volume
05/09/2018,282.98999,284.420013,275.149994,278.420013,277.264099,9828900
06/09/2018,277.76001,277.859985,271.390015,272.720001,271.587769,8069900
07/09/2018,269,276.929993,267.190002,271.859985,270.731293,7385500
10/09/2018,272.769989,275.929993,271,274.730011,273.589417,5503500
11/09/2018,272.859985,276.399994,272.019989,272.799988,271.667389,6077800
12/09/2018,271.190002,271.980011,261.920013,268.200012,267.086517,10477300
13/09/2018,270.859985,275,270.160004,271.339996,270.213501,7638400
14/09/2018,274.98999,279.100006,273.5,276.429993,275.282349,9673400
17/09/2018,275.399994,277.380005,273.149994,273.929993,272.792725,5138200
18/09/2018,274.089996,278.23999,270.75,271.019989,269.894806,7488000
19/09/2018,270.269989,272.700012,268.25,271.980011,270.850861,5621500
20/09/2018,267.049988,268.76001,264.100006,266.279999,265.1745,10764600
21/09/2018,266.76001,268.600006,262.109985,263.450012,262.356262,10878200
24/09/2018,262.200012,265.839996,258.679993,265.700012,264.596893,7347800
25/09/2018,268.369995,269.420013,264.910004,268.410004,267.295654,7009700
26/09/2018,268.609985,270.23999,266.279999,266.920013,265.811829,6713700
27/09/2018,268.339996,269.200012,266.130005,267.399994,266.289856,5360700
28/09/2018,272.730011,281.920013,271.600006,281.019989,279.853302,17734900
01/10/2018,284.160004,292.059998,282.600006,289.359985,288.158661,15551500
02/10/2018,288.25,292.76001,285.579987,286.480011,285.290619,9599100
03/10/2018,289.320007,289.619995,282.529999,286.730011,285.539581,8013800
04/10/2018,285.269989,286.25,276.179993,279.290009,278.130493,9780500
05/10/2018,278.290009,280.799988,267.540009,269.859985,268.739594,10665900
08/10/2018,266.5,271.160004,260.079987,265.769989,264.666595,10215300
09/10/2018,264.940002,268.76001,262.799988,265.540009,264.437592,6837500
10/10/2018,261.26001,263.109985,245.600006,245.690002,244.669983,17123500
11/10/2018,242.169998,247.559998,234.259995,235.130005,234.153824,18135900
12/10/2018,245.509995,249.539993,239.649994,246.539993,245.516449,15205900
15/10/2018,246,246,235.339996,235.380005,234.402786,11244000
16/10/2018,239.929993,246.279999,237.940002,245.830002,244.809418,10217800
17/10/2018,248.339996,249.880005,241.080002,243.059998,242.050888,8241700
18/10/2018,245.860001,247.410004,237.089996,239.529999,238.535568,13100500
19/10/2018,241.759995,242.550003,227.699997,229.169998,228.218567,15340200
22/10/2018,231.279999,235.320007,227.070007,231.220001,230.260056,9221100
23/10/2018,220.429993,224.190002,216.710007,221.059998,220.142227,15660900
24/10/2018,219.509995,221.389999,198.850006,199.410004,198.582108,22107200
25/10/2018,195.470001,209.75,193.679993,207.839996,206.977097,23793000
26/10/2018,198.309998,204.839996,193.119995,198.289993,197.466751,16619600
29/10/2018,203.990005,204.130005,176.009995,185.619995,184.849365,18950400
30/10/2018,186.550003,203.399994,185.619995,203,202.157211,20179800
31/10/2018,209.649994,212.589996,204.009995,210.830002,209.954712,18644300
01/11/2018,212.300003,218.490005,207.190002,218.110001,217.204468,14163200
02/11/2018,217.729996,222,210.210007,214.919998,214.02771,11324000
05/11/2018,214.389999,215.330002,205.279999,211.770004,210.890808,9483300
06/11/2018,211.449997,214.850006,209.559998,211.059998,210.183762,7475300
07/11/2018,213.75,217.410004,211.179993,213.789993,212.902405,12095300
08/11/2018,211.399994,211.429993,203.830002,205.990005,205.134796,12783800
09/11/2018,202.399994,209.320007,201.039993,205.669998,204.816132,10331000
12/11/2018,201.979996,202.869995,188.660004,189.539993,188.753098,15427900
13/11/2018,193.490005,204.210007,193.240005,199.309998,198.482544,16117800
14/11/2018,206.300003,206.880005,192.830002,197.190002,196.371338,13164500
15/11/2018,196.949997,205.300003,195.5,202.389999,201.549744,21017700
16/11/2018,163.320007,170.660004,161.610001,164.429993,163.74733,49088000
19/11/2018,161.789993,161.820007,144.630005,144.699997,144.099258,42445500
20/11/2018,134.059998,154.259995,133.309998,149.080002,148.461075,42300800
21/11/2018,154.619995,155.300003,143.610001,144.710007,144.109207,25637400
23/11/2018,143.309998,149.589996,142.789993,145,144.39801,10299200
26/11/2018,149.889999,153.470001,146.559998,153.050003,152.414566,20370800
27/11/2018,152,157.009995,150.550003,153.729996,153.091766,18451500
28/11/2018,158.479996,160.279999,153.130005,160.070007,159.405457,20113100
29/11/2018,160,161.5,156.139999,157.360001,156.863495,13729300
30/11/2018,157.75,163.860001,155.720001,163.429993,162.914337,18239100
03/12/2018,172.600006,174.679993,167.339996,170.039993,169.503479,22270100
04/12/2018,168.240005,168.440002,156.5,157.110001,156.614273,20302800
06/12/2018,151.440002,158.490005,150.809998,158.289993,157.790558,17307700
07/12/2018,158.460007,158.869995,145.619995,147.610001,147.144257,17041900
10/12/2018,145.800003,152.860001,145.649994,151.860001,151.380844,15736800
11/12/2018,155.559998,155.889999,145,148.190002,147.722427,16797800
12/12/2018,148.419998,152.779999,144.820007,148.899994,148.430176,16353400
